Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,100.000000,100.370003,95.510002,98.349998,93.933968,14959700
2018-05-07,98.529999,102.680000,98.290001,101.419998,96.866135,13415200
2018-05-14,101.690002,102.150002,99.970001,100.989998,96.455444,13616000
2018-05-21,101.570000,103.239998,100.470001,101.099998,96.560486,11629400
2018-05-28,99.839996,99.839996,96.980003,98.250000,93.838470,12946100
2018-06-04,98.809998,102.389999,98.430000,101.000000,96.464989,14927800
2018-06-11,101.180000,101.669998,97.309998,98.519997,94.096336,19089600
2018-06-18,97.849998,98.550003,95.760002,97.230003,92.864273,21822300
2018-06-25,97.050003,100.099998,95.650002,98.000000,93.599701,24697300
2018-07-02,97.400002,99.309998,97.160004,98.519997,94.096336,9572000
2018-07-09,99.260002,101.330002,99.080002,100.500000,96.332054,20282100
2018-07-16,100.599998,103.070000,99.279999,100.150002,95.996574,22777400
2018-07-23,100.150002,104.239998,100.010002,103.849998,99.543114,14882200
2018-07-30,102.730003,103.110001,98.669998,100.790001,96.610023,16381000
2018-08-06,100.769997,103.320000,100.400002,101.580002,97.367271,10995600
2018-08-13,101.480003,103.309998,100.839996,103.029999,98.757126,12177100
2018-08-20,103.019997,106.339996,102.930000,105.760002,101.373917,11958400
2018-08-27,106.790001,107.430000,105.300003,105.980003,101.584785,10127000
2018-09-03,106.349998,107.269997,104.550003,106.080002,101.680641,14575900
2018-09-10,106.559998,110.010002,106.470001,109.559998,105.016312,16665300
2018-09-17,110.209999,111.769997,108.940002,110.900002,106.300751,15429700
2018-09-24,110.739998,110.839996,106.279999,106.489998,102.073631,12779600
2018-10-01,107.809998,109.400002,106.720001,107.230003,102.782936,12968000
2018-10-08,106.629997,107.230003,101.550003,103.000000,99.084702,20808600
2018-10-15,102.849998,107.550003,102.209999,106.730003,102.672913,19958800
2018-10-22,106.610001,106.959999,100.139999,101.250000,97.401222,22058200
2018-10-29,102.470001,105.050003,100.040001,103.709999,99.767700,19637200
2018-11-05,104.040001,109.330002,103.800003,108.279999,104.163986,16501300
2018-11-12,108.160004,110.379997,106.300003,109.459999,105.299126,18383300
2018-11-19,109.900002,110.019997,105.309998,105.739998,101.720535,10670000
2018-11-26,107.150002,113.180000,106.830002,112.269997,108.002312,19521300
2018-12-03,113.989998,114.550003,104.779999,106.680000,102.624794,20512400
2018-12-10,105.940002,108.730003,103.500000,105.699997,101.682060,20214000
2018-12-17,105.459999,105.459999,91.150002,91.330002,87.858299,36877700
2018-12-24,90.739998,95.650002,89.050003,94.419998,90.830841,16026300
2018-12-31,95.129997,98.349998,93.230003,97.639999,93.928444,16410300
2019-01-07,97.769997,99.589996,97.019997,98.550003,95.191849,15765100
2019-01-14,97.760002,100.809998,96.370003,100.480003,97.056099,30183300
2019-01-21,99.849998,101.589996,98.459999,100.769997,97.336197,15189100
2019-01-28,100.050003,103.529999,99.480003,103.059998,99.548172,18544200
2019-02-04,103.040001,105.080002,102.519997,104.519997,100.958420,14844400
2019-02-11,104.949997,108.470001,104.809998,107.379997,103.720978,15342700
2019-02-18,107.050003,107.550003,106.320000,107.440002,103.778923,12356500
2019-02-25,108.199997,109.650002,106.419998,108.900002,105.189178,14252900
2019-03-04,109.559998,110.089996,106.680000,107.980003,104.300522,14480200
2019-03-11,109.010002,113.769997,108.709999,113.519997,109.651749,19759400
2019-03-18,113.750000,114.250000,108.989998,109.459999,105.730087,16407000
2019-03-25,109.279999,110.400002,108.190002,109.300003,105.575554,17371600
2019-04-01,110.290001,112.040001,109.500000,110.959999,107.178970,20587000
2019-04-08,110.620003,111.550003,109.419998,110.910004,107.509933,14933500
2019-04-15,110.919998,114.139999,110.250000,113.669998,110.185318,14795100
2019-04-22,112.599998,117.730003,111.900002,117.599998,113.994835,16421400
2019-04-29,117.239998,119.660004,116.099998,119.349998,115.691193,13329500
2019-05-06,117.260002,119.610001,115.379997,118.459999,114.828476,18899000
2019-05-13,116.419998,120.349998,115.620003,119.070000,115.419777,18299800
2019-05-20,118.830002,120.879997,117.849998,119.510002,115.846283,14606100
2019-05-27,119.360001,120.120003,114.559998,114.709999,111.193436,9955700
2019-06-03,114.559998,121.360001,113.889999,121.110001,117.397240,13270900
2019-06-10,121.599998,124.739998,120.940002,122.000000,118.259933,14270900
2019-06-17,122.239998,126.400002,121.300003,124.730003,120.906258,16782100
2019-06-24,124.980003,125.419998,123.029999,123.440002,119.655807,12814400
2019-07-01,125.300003,126.400002,124.309998,125.400002,121.555717,15530700
2019-07-08,124.989998,128.419998,124.180000,127.959999,124.425140,12870400
2019-07-15,128.250000,129.339996,123.800003,124.820000,121.371872,18682100
2019-07-22,124.750000,128.979996,124.699997,126.779999,123.277725,19422800
2019-07-29,126.910004,127.459999,123.080002,124.309998,120.875961,14384500
2019-08-05,122.459999,126.739998,120.160004,126.169998,122.684578,17658400
2019-08-12,124.989998,126.500000,121.139999,124.629997,121.187126,17095100
2019-08-19,126.099998,126.150002,117.059998,117.760002,114.506912,16999100
2019-08-26,118.330002,121.660004,116.849998,120.370003,117.044807,12911300
2019-09-02,119.860001,121.629997,117.519997,120.190002,116.869781,16759100
2019-09-09,121.209999,121.410004,116.300003,119.199997,115.907127,22881100
2019-09-16,118.139999,119.519997,116.370003,116.800003,113.573441,17457100
2019-09-23,116.360001,120.199997,116.099998,118.589996,115.313980,19281100
2019-09-30,119.050003,119.500000,111.059998,114.410004,111.249466,16353400
2019-10-07,113.910004,117.570000,112.050003,116.400002,113.617371,13923600
2019-10-14,116.139999,119.980003,115.940002,116.760002,113.968758,15574800
2019-10-21,117.550003,119.379997,115.510002,118.260002,115.432899,16969000
2019-10-28,118.639999,119.449997,116.860001,119.139999,116.291862,12117400
2019-11-04,119.620003,122.430000,117.760002,121.470001,118.566162,11836700
2019-11-11,120.760002,121.809998,119.800003,120.760002,117.873131,9856500
2019-11-18,120.559998,120.849998,118.410004,119.059998,116.213776,11466500
2019-11-25,119.139999,121.040001,119.139999,120.120003,117.248436,11472800
2019-12-02,120.309998,121.440002,114.650002,120.610001,117.726723,18190500
2019-12-09,120.440002,124.989998,120.029999,124.720001,121.738472,14271500
2019-12-16,125.650002,126.330002,123.250000,125.769997,122.763359,19267800
2019-12-23,125.739998,125.970001,123.699997,125.190002,122.197235,7260100
2019-12-30,125.199997,126.269997,123.779999,124.599998,121.621330,9445500
2020-01-06,123.370003,128.169998,123.120003,127.279999,124.667877,13932000
2020-01-13,127.839996,131.860001,127.629997,131.520004,128.820877,16392800
2020-01-20,131.110001,138.130005,130.139999,135.110001,132.337204,18040000
2020-01-27,131.149994,133.869995,128.869995,129.869995,127.204735,18614600
2020-02-03,130.550003,134.350006,130.449997,131.820007,129.114731,13948100
2020-02-10,131.610001,136.369995,131.350006,135.869995,133.081604,10803800
2020-02-17,135.869995,138.039993,133.889999,134.899994,132.131516,9861000
